subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
1	1	 1	 1	1	1767917	1773312	7		0
1	2	 1	 1	1	1798833	1801238	7		0
1	3	 1	 1	1	1815516	1818727	6		0
1	5	 1	 1	1	1899261	1901537	7		0
1	4	 1	 1	1	1913153	1915556	6		0
1	53	 2	 12	1	2061307	2065115	7		0
1	47	 4	 11	1	2075356	2078599	6		0
1	62	 3	 11	1	2094285	2097505	6		0
1	12	 1	 12	1	2108996	2112039	7		0
1	76	 1	 12	1	2133148	2135365	7		0
1	91	 4	 11	1	2163249	2164776	6		0
1	18	 3	 11	1	2192864	2194840	6		0
1	19	 4	 12	1	2254300	2257566	7		0
1	88	 1	 11	1	2330512	2331842	6		0
1	11	 4	 11	1	2347172	2349274	6		0
1	38	 3	 12	1	2359665	2361270	7		0
1	23	 4	 12	1	2381393	2387382	7		0
1	40	 1	 12	1	2415735	2417833	7		0
1	78	 3	 12	1	2426979	2428441	7		0
1	65	 2	 12	1	2445714	2448696	7		0
1	48	 1	 11	1	2469303	2471337	6		0
1	92	 1	 12	1	2477435	2479079	7		0
1	71	 4	 12	1	2602772	2605878	7		0
1	27	 4	 11	1	2648769	2650709	6		0
1	43	 4	 12	1	2702292	2705365	7		0
1	94	 3	 12	1	2726930	2730057	7		0
1	49	 2	 12	1	2758976	2760471	7		0
1	15	 4	 11	1	2767588	2773013	6		0
1	56	 1	 11	1	2802146	2805511	6		0
1	58	 3	 11	1	2822111	2824456	6		0
1	50	 3	 12	1	2849331	2851846	7		0
1	42	 3	 12	1	2863455	2866631	7		0
1	98	 3	 12	1	3024810	3026494	7		0
1	72	 1	 11	1	3037697	3040200	6		0
1	25	 2	 12	1	3056036	3057610	7		0
1	51	 4	 11	1	3066847	3068264	6		0
1	95	 4	 12	1	3086704	3088376	7		0
1	54	 3	 12	1	3104271	3105858	7		0
1	55	 4	 11	1	3175056	3180584	6		0
1	24	 1	 12	1	3200724	3202162	7		0
1	35	 4	 12	1	3218207	3226520	7		0
1	57	 2	 12	1	3380270	3381844	7		0
1	45	 2	 12	1	3392514	3394855	7		0
1	59	 4	 11	1	3439394	3445257	6		0
1	36	 1	 11	1	3462419	3463720	7		0
1	64	 1	 12	1	3472692	3476972	7		0
1	52	 1	 11	1	3492068	3493656	6		0
1	9	 2	 12	1	3502484	3504777	6		0
1	22	 3	 11	1	3551938	3554425	6		0
1	69	 2	 12	1	3577615	3578825	7		0
1	21	 2	 11	1	3587359	3588987	6		0
1	29	 2	 11	1	3617359	3619684	6		0
1	32	 1	 12	1	3629667	3630827	7		0
1	6	 3	 11	1	3637971	3639483	6		0
1	97	 2	 12	1	3653776	3654819	7		0
2	1	 1	 1	1	5190391	5196001	7		0
2	2	 1	 1	1	5206569	5208784	7		0
2	5	 1	 1	1	5221497	5225010	7		0
2	3	 1	 1	1	5237192	5239467	6		0
2	4	 1	 1	1	5248589	5250768	6		0
2	65	 3	 12	1	5422189	5425040	7		0
2	95	 1	 12	1	5436140	5439038	7		0
2	55	 1	 11	1	5451084	5453234	6		0
2	58	 4	 11	1	5475433	5477585	6		0
2	36	 2	 11	1	5496587	5498727	7		0
2	62	 4	 11	1	5518761	5521313	6		0
2	45	 3	 12	1	5538089	5539804	7		0
2	35	 1	 12	1	5547658	5550290	7		0
2	43	 1	 12	1	5559259	5561074	7		0
2	48	 2	 11	1	5568456	5570498	6		0
2	23	 1	 12	1	5578122	5579618	7		0
2	15	 1	 11	1	5599019	5601282	6		0
2	71	 1	 12	1	5637304	5638979	7		0
2	53	 3	 12	1	5645426	5650100	7		0
2	27	 1	 11	1	5660717	5662896	6		0
2	88	 2	 11	1	5681642	5683173	6		0
2	47	 1	 11	1	5711678	5713933	6		0
2	91	 1	 11	1	5731100	5733209	6		0
2	78	 4	 12	1	6127837	6129972	7		0
2	9	 3	 12	1	6137214	6140792	7		0
2	6	 4	 11	1	6151309	6154431	6		0
2	51	 1	 11	1	6165915	6167391	6		0
2	52	 2	 11	1	6177149	6178823	6		0
2	22	 4	 11	1	6241182	6244273	6		0
2	11	 1	 11	1	6266412	6268581	6		0
2	97	 3	 12	1	6284636	6286725	7		0
2	40	 2	 12	1	6294462	6296719	7		0
2	59	 1	 11	1	6332525	6336245	6		0
2	25	 3	 12	1	6361965	6364183	7		0
2	18	 4	 11	1	6397357	6399382	6		0
2	38	 4	 12	1	6411629	6414080	7		0
2	24	 2	 12	1	6452764	6454896	7		0
2	32	 2	 12	1	6464307	6466487	7		0
2	98	 4	 12	1	6596158	6600383	7		0
2	76	 2	 12	1	6610274	6612935	7		0
2	21	 3	 11	1	6631231	6632630	6		0
2	19	 1	 12	1	6657901	6660367	7		0
2	50	 4	 12	1	6674347	6676623	7		0
2	29	 3	 11	1	6833743	6836892	6		0
2	49	 3	 12	1	6845019	6847078	7		0
2	56	 2	 11	1	6872283	6874758	7		0
2	94	 4	 12	1	6911249	6913206	7		0
2	12	 2	 12	1	6920882	6923050	7		0
2	72	 2	 11	1	6933742	6936864	6		0
2	92	 2	 12	1	6945709	6947476	7		0
2	64	 2	 12	1	6957678	6959798	7		0
2	57	 3	 12	1	6973964	6976464	7		0
2	42	 4	 12	1	6999662	7001110	7		0
2	69	 3	 12	1	7026894	7028672	7		0
2	54	 4	 12	1	7071134	7072774	7		0
3	4	 1	 1	1	723209	730300	6		0
3	5	 1	 1	1	756249	761093	7		0
3	1	 1	 1	1	768028	772642	7		0
3	2	 1	 1	1	792354	795877	7		0
3	3	 1	 1	1	839129	844898	6		0
3	35	 2	 12	1	1591767	1598946	7		0
3	52	 3	 11	1	1618349	1621594	6		0
3	24	 3	 12	1	1650471	1653141	7		0
3	95	 2	 12	1	1676316	1680546	7		0
3	40	 3	 12	1	2286057	2289357	7		0
3	50	 1	 12	1	2298951	2301529	7		0
3	94	 1	 12	1	2327686	2334474	7		0
3	69	 4	 12	1	2351719	2353372	7		0
3	19	 2	 12	1	2360253	2363570	6		0
3	48	 3	 11	1	2374283	2375855	6		0
3	12	 3	 12	1	2400237	2403138	7		0
3	62	 1	 11	1	2417132	2420018	6		0
3	32	 3	 12	1	2427919	2430471	7		0
3	55	 2	 11	1	2439565	2440966	6		0
3	71	 2	 12	1	2464283	2466286	7		0
3	43	 2	 12	1	2520126	2522516	7		0
3	88	 3	 11	1	2531279	2532985	6		0
3	36	 3	 11	1	2545354	2547123	7		0
3	56	 3	 11	1	2572023	2573979	6		0
3	53	 4	 12	1	2581662	2587571	7		0
3	76	 3	 12	1	2595690	2597799	7		0
3	49	 4	 12	1	2629294	2631364	7		0
3	18	 1	 11	1	2642427	2644356	6		0
3	64	 3	 12	1	2652653	2657343	6		0
3	51	 2	 11	1	2673261	2675108	6		0
3	47	 2	 11	1	2702681	2704139	6		0
3	22	 1	 11	1	2736986	2739959	6		0
3	98	 1	 12	1	2748458	2751044	7		0
3	25	 4	 12	1	2781039	2784987	7		0
3	15	 2	 11	1	2806251	2808068	6		0
3	23	 2	 12	1	2814109	2816804	7		0
3	42	 1	 12	1	2837306	2840503	7		0
3	11	 2	 11	1	2847924	2849268	6		0
3	27	 2	 11	1	2860570	2862532	6		0
3	97	 4	 12	1	2873212	2875215	7		0
3	45	 4	 12	1	2901772	2905236	7		0
3	38	 1	 12	1	2917135	2919475	7		0
3	65	 4	 12	1	2935696	2940291	7		0
3	9	 4	 12	1	2951537	2956163	7		0
3	21	 4	 11	1	2991264	2996660	7		0
3	78	 1	 12	1	3003582	3006499	7		0
3	29	 4	 11	1	3013341	3017540	6		0
3	58	 1	 11	1	3025372	3027669	6		0
3	91	 2	 11	1	3034348	3037700	6		0
3	6	 1	 11	1	3045038	3047925	6		0
3	57	 4	 12	1	3055166	3058116	7		0
3	59	 2	 11	1	3076191	3078984	6		0
3	92	 3	 12	1	3092991	3095192	7		0
3	54	 1	 12	1	3108747	3110885	7		0
3	72	 3	 11	1	3137116	3138760	6		0
4	4	 1	 1	1	4394479	4402818	6		0
4	2	 1	 1	1	4437987	4439899	7		0
4	1	 1	 1	1	4464033	4466115	7		0
4	5	 1	 1	1	4481153	4482747	7		0
4	3	 1	 1	1	4501776	4504027	6		0
4	19	 3	 12	1	4619105	4621131	7		0
4	27	 3	 11	1	4633342	4634987	6		0
4	47	 3	 11	1	4643250	4644966	6		0
4	11	 3	 11	1	4652112	4653608	7		0
4	91	 3	 11	1	4667054	4668819	6		0
4	22	 2	 11	1	4681505	4683448	6		0
4	54	 2	 12	1	4690639	4693091	7		0
4	64	 4	 12	1	4699840	4702403	7		0
4	38	 2	 12	1	4722337	4724371	7		0
4	76	 4	 12	1	4737025	4739379	7		0
4	40	 4	 12	1	4744846	4748183	7		0
4	32	 4	 12	1	4773665	4775880	7		0
4	21	 1	 11	1	4781375	4782739	6		0
4	57	 1	 12	1	4810704	4812498	7		0
4	23	 3	 12	1	4846817	4849080	7		0
4	12	 4	 12	1	4892656	4894216	7		0
4	53	 1	 12	1	4906034	4907832	7		0
4	71	 3	 12	1	4914912	4916722	7		0
4	72	 4	 11	1	4923216	4926088	6		0
4	69	 1	 12	1	4938544	4940203	7		0
4	25	 1	 12	1	4970126	4971779	7		0
4	9	 1	 12	1	4988816	4990536	6		0
4	65	 1	 12	1	5010502	5013947	7		0
4	36	 4	 11	1	5023604	5026104	7		0
4	24	 4	 12	1	5032865	5034440	7		0
4	15	 3	 11	1	5064335	5065758	6		0
4	98	 2	 12	1	5077745	5079779	7		0
4	6	 2	 11	1	5086369	5088649	6		0
4	29	 1	 11	1	5119378	5121577	6		0
4	62	 2	 11	1	5129296	5133481	7		0
4	55	 3	 11	1	5143938	5145363	6		0
4	78	 2	 12	1	5166127	5167827	7		0
4	92	 4	 12	1	5185870	5188616	6		0
4	49	 1	 12	1	5195172	5196569	7		0
4	45	 1	 12	1	5202961	5204693	7		0
4	97	 1	 12	1	5210800	5211948	7		0
4	88	 4	 11	1	5217666	5219225	6		0
4	35	 3	 12	1	5227729	5230697	7		0
4	59	 3	 11	1	5295584	5300249	6		0
4	95	 3	 12	1	5313651	5315176	7		0
4	51	 3	 11	1	5324320	5326236	7		0
4	42	 2	 12	1	5335296	5336824	7		0
4	43	 3	 12	1	5352481	5354298	7		0
4	48	 4	 11	1	5369903	5371385	6		0
4	58	 2	 11	1	5386322	5388218	6		0
4	52	 4	 11	1	5401168	5402553	6		0
4	50	 2	 12	1	5409360	5410780	7		0
4	94	 2	 12	1	5427328	5429253	7		0
4	18	 2	 11	1	5434693	5436376	6		0
4	56	 4	 11	1	5446996	5448552	6		0
5	1	 1	 1	1	779388	786687	7		0
5	4	 1	 1	1	822390	825323	6		0
5	5	 1	 1	1	918835	923403	7		0
5	2	 1	 1	1	948185	957499	7		0
5	3	 1	 1	1	979555	982727	6		0
5	12	 1	 12	1	1145335	1149916	7		0
5	19	 4	 12	1	1199070	1203396	7		0
5	35	 4	 12	1	1254149	1257899	7		0
5	65	 2	 12	1	1275188	1279104	7		0
5	38	 3	 12	1	1290334	1297196	7		0
5	78	 3	 12	1	1312714	1315260	7		0
5	55	 4	 11	1	1338437	1342553	6		0
5	51	 4	 11	1	1357874	1360691	6		0
5	9	 2	 12	1	1372219	1375004	6		0
5	25	 2	 12	1	1387757	1391413	7		0
