"Parameter","mean","SE","lower bound","upper bound","$\hat{R}$"
"Intercept ($\mu$)",280.8709730625,8.4530171986223,264.5849,297.658175,1.00003750497896
"Intercept ($\beta$)",4.4719335275,0.0774919687926278,4.31683725,4.621621,1.00015282334566
"Word Pair ($\mu$)",-3.69418345394813,2.31485433029678,-8.36854375,0.739908949999995,1.0001220471586
"Experiment vs. Control ($\mu$)",-6.85599994465625,1.89364649767918,-10.6167575,-3.18138525,1.00017611363743
"Noise ($\mu$)",-12.35632872125,1.90240974837052,-16.1016225,-8.60468375,0.999969735044897
"English Proficiency ($\mu$)",-191.666639672719,54.4964514931907,-298.627425,-82.6256775000001,1.00013073548485
"Spanish Proficiency ($\mu$)",71.9691011094081,57.9631645545065,-40.473505,186.39005,1.00017608737135
"1/Frequency per million ($\mu$)",7.96795305057175,7.86099991948143,-7.03482199999999,24.0307675,1.00029609957562
"Word Pair:Experiment vs. Control ($\mu$)",-0.638834738964825,2.08092067846601,-4.6492865,3.51185025,1.00002355267937
"Word Pair:Noise ($\mu$)",-0.0460001667738687,1.91468436065185,-3.882789,3.66783675,1.00007796268602
"Experiment vs. Control:Noise ($\mu$)",0.443279764727025,1.93786847210223,-3.31735875,4.2702325,1.00001163377006
"Word Pair:Experiment vs. Control:Noise ($\mu$)",0.250163375669178,1.85481632110565,-3.38799575,3.87290475,0.999938428513446
"Word Pair ($\beta$)",-0.01804094881323,0.0261934039205859,-0.070179165,0.0329048299999999,1.00008162001355
"Experiment vs. Control ($\beta$)",-0.0619630888065313,0.025593102914349,-0.11303435,-0.01172074,1.00006627116792
"Noise ($\beta$)",-0.09833197773825,0.0263398315416005,-0.15086905,-0.047416355,1.00005810684596
"English Proficiency ($\beta$)",-1.546117424225,0.463492545913552,-2.47124325,-0.640827825,1.00005421903679
"Spanish Proficiency ($\beta$)",0.397539828875972,0.506201907172119,-0.6022758,1.40424175,1.00026702315517
"1/Frequency per million ($\beta$)",0.0561298420064412,0.0906438186062382,-0.128849275,0.230331075,1.00011449744356
"Word Pair:Experiment vs. Control ($\beta$)",-0.00165581154984625,0.0254503219357323,-0.05055245,0.0488143925,0.999962170202411
"Word Pair:Noise ($\beta$)",-0.00956582771411669,0.0259679492475633,-0.0613848,0.04096295,1.00008080122427
"Experiment vs. Control:Noise ($\beta$)",0.0128281773631938,0.0257868717449454,-0.036687725,0.0641956724999999,0.999993777141416
"Word Pair:Experiment vs. Control:Noise ($\beta$)",-0.0260433967824394,0.0251176768701347,-0.0748473325,0.0237268025,1.00006647243114
