Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
actor   	actor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
empleado	empleado	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cereal  	cereal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
pimienta	pimienta	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
error   	error   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.63	 1.00	
risa    	risa    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
piano   	piano   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
banco   	banco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
origen  	origen  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
seguridad	seguridad	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
dentista	dentista	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
cirujano	cirujano	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
accidente	accidente	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
sótano  	sotano  	 0.83	 0.17	 0.17	 0.83	 0.88	 0.67	 0.64	 0.60	
destrucción	destruccion	 0.91	 0.64	 0.64	 0.73	 0.92	 0.87	 0.75	 0.87	
mejora  	mejora  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
fruta   	fruta   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
caramelo	caramelo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
Desierto	Desierto	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
jungla  	jungla  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
descuento	descuento	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
vendedor	vendedor	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
sugerencia	sugerencia	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.93	 1.00	
suposición	suposicion	 0.90	 0.80	 0.80	 0.80	 0.92	 0.86	 0.73	 0.87	
instrucción	instruccion	 0.91	 0.64	 0.64	 0.73	 0.92	 0.86	 0.74	 0.88	
medición	medicion	 0.88	 0.75	 0.62	 0.88	 0.90	 0.81	 0.65	 0.84	
inspector	inspector	 1.00	 0.89	 0.89	 1.00	 1.00	 1.00	 1.00	 1.00	
médico  	medico  	 0.83	 0.17	 0.17	 0.83	 0.88	 0.67	 0.64	 0.59	
tractor 	tractor 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
guardería	guarderia	 0.89	 0.78	 0.44	 0.89	 0.91	 0.81	 0.75	 0.84	
insecto 	insecto 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
patata  	patata  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.53	 1.00	
talento 	talento 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
arma    	arma    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
Academia	Academia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
