Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
actor   	ator    	 0.20	 0.40	 0.80	 0.60	 0.82	 0.56	 0.60	 0.55	
clerk   	escriturario	 0.20	 0.20	 0.20	 0.00	 0.22	 0.22	 0.05	 0.12	
cereal  	cereal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
pepper  	pimenta 	 0.17	 0.33	 0.33	 0.17	 0.28	 0.17	 0.03	 0.21	
error   	erro    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.80	 0.44	 0.93	
laugh   	risada  	 0.00	 0.00	 0.00	 0.00	 0.14	 0.00	 0.00	 0.00	
piano   	piano   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
bench   	banco   	 0.60	 0.60	 0.20	 0.60	 0.57	 0.33	 0.27	 0.24	
origin  	origem  	 0.67	 0.67	 0.67	 0.67	 0.62	 0.60	 0.47	 0.63	
security	seguranca	 0.50	 0.50	 0.38	 0.38	 0.50	 0.28	 0.26	 0.50	
dentist 	dentista	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 0.97	 1.00	
surgeon 	cirurgiao	 0.14	 0.29	 0.00	 0.14	 0.41	 0.27	 0.33	 0.12	
accident	acidente	 0.25	 0.50	 0.50	 0.25	 0.77	 0.93	 0.90	 0.93	
destruction	destruicao	 0.64	 0.64	 0.64	 0.36	 0.69	 0.67	 0.58	 0.77	
improvement	melhoria	 0.09	 0.09	 0.00	 0.00	 0.15	 0.04	 0.10	 0.11	
fruit   	fruta   	 0.60	 0.80	 0.80	 0.60	 0.68	 0.56	 0.60	 0.70	
candy   	bala    	 0.20	 0.20	 0.20	 0.20	 0.14	 0.00	 0.00	 0.00	
desert  	deserto 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 0.87	 1.00	
jungle  	selva   	 0.00	 0.00	 0.00	 0.00	 0.16	 0.00	 0.04	 0.00	
discount	desconto	 0.50	 0.75	 0.75	 0.50	 0.65	 0.50	 0.49	 0.51	
salesman	vendedor	 0.00	 0.12	 0.12	 0.00	 0.11	 0.00	 0.00	 0.03	
suggestion	sugestao	 0.30	 0.50	 0.70	 0.30	 0.62	 0.60	 0.59	 0.66	
assumption	suposicao	 0.10	 0.20	 0.10	 0.00	 0.33	 0.29	 0.19	 0.31	
instruction	instrucao	 0.64	 0.64	 0.64	 0.45	 0.67	 0.62	 0.61	 0.77	
measurement	medicao 	 0.18	 0.18	 0.18	 0.18	 0.24	 0.04	 0.08	 0.23	
inspector	inspetor	 0.56	 0.56	 0.56	 0.78	 0.83	 0.71	 0.78	 0.82	
physician	medico  	 0.00	 0.22	 0.11	 0.11	 0.18	 0.05	 0.03	 0.02	
tractor 	trator  	 0.43	 0.57	 0.86	 0.86	 0.80	 0.57	 0.68	 0.80	
insect  	inseto  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
potato  	batata  	 0.50	 0.50	 0.50	 0.50	 0.38	 0.30	 0.23	 0.14	
talent  	talento 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
academy 	Academia	 0.86	 0.86	 0.86	 0.57	 0.78	 0.79	 0.72	 0.74	
lecture 	leitura 	 0.71	 0.43	 0.71	 0.71	 0.67	 0.47	 0.48	 0.67	
fantasy 	fantasia	 0.86	 0.86	 0.86	 0.57	 0.78	 0.80	 0.80	 0.73	
camera  	camera  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
author  	autor   	 0.50	 0.67	 0.67	 0.83	 0.81	 0.58	 0.64	 0.75	
tourist 	turista 	 0.14	 0.14	 0.43	 0.14	 0.75	 0.73	 0.74	 0.65	
emperor 	imperador	 0.57	 0.57	 0.57	 0.71	 0.62	 0.57	 0.61	 0.40	
restaurant	restaurante	 1.00	 1.00	 1.00	 0.40	 0.92	 1.00	 0.98	 1.00	
enterprise	empreendimento	 0.10	 0.20	 0.20	 0.10	 0.35	 0.41	 0.36	 0.57	
guitar  	violao  	 0.17	 0.17	 0.17	 0.17	 0.22	 0.08	 0.01	 0.02	
finger  	fingir  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.65	 0.81	
carpet  	carpete 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.02	 1.00	
bomb    	bomba   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 0.92	 1.00	
salsa   	salsa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.86	 1.00	
actual  	atual   	 0.17	 0.50	 0.83	 0.50	 0.84	 0.67	 0.68	 0.59	
alms    	almas   	 0.75	 1.00	 1.00	 0.75	 0.95	 1.00	 0.87	 0.86	
avocado 	abacate 	 0.43	 0.43	 0.43	 0.43	 0.36	 0.14	 0.15	 0.20	
balcony 	balcao  	 0.57	 0.57	 0.29	 0.43	 0.64	 0.60	 0.59	 0.59	
beef    	bife    	 0.25	 0.50	 0.50	 0.25	 0.58	 0.50	 0.16	 0.64	
brand   	brando  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
bland   	brando  	 0.80	 0.80	 0.80	 0.40	 0.71	 0.56	 0.54	 0.54	
candor  	candor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cargo   	cargo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
commodity	comodidade	 0.33	 0.67	 0.67	 0.44	 0.59	 0.59	 0.55	 0.64	
comprehensive	compreensivo	 0.46	 0.46	 0.46	 0.54	 0.71	 0.71	 0.76	 0.83	
construe	construir	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.86	 0.78	
doze    	doce/doze	 0.75	 0.75	 1.00	 1.00	 1.00	 1.00	 1.00	 0.95	
invite  	convidar	 0.00	 0.50	 0.17	 0.00	 0.38	 0.25	 0.37	 0.10	
exit    	exito   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
fabric  	fabrica 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
file    	fila    	 0.75	 0.75	 0.75	 0.75	 0.67	 0.50	 0.63	 0.59	
grip    	gripe   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
excited 	excitado	 0.86	 0.86	 0.86	 0.57	 0.78	 0.73	 0.70	 0.85	
devil   	debil   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.47	 0.75	
intent  	intencao	 0.83	 0.83	 0.83	 0.50	 0.75	 0.82	 0.84	 0.87	
air     	ar      	 0.33	 0.67	 0.67	 0.67	 0.75	 0.33	 0.25	 0.42	
adult   	adulto  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
agenda  	agenda  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
agent   	agente  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.02	 1.00	
alarm   	alarme  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 0.83	 1.00	
alcohol 	alcool  	 0.57	 0.71	 0.57	 0.71	 0.83	 0.62	 0.65	 0.77	
altar   	altar   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
area    	area    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
artist  	artista 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 0.96	 1.00	
atmosphere	atmosfera	 0.50	 0.50	 0.50	 0.60	 0.62	 0.48	 0.46	 0.68	
attention	atencao 	 0.22	 0.44	 0.56	 0.22	 0.50	 0.38	 0.33	 0.64	
banana  	banana  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.53	 1.00	
base    	base    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
blouse  	blusa   	 0.33	 0.50	 0.50	 0.50	 0.56	 0.42	 0.43	 0.52	
cabin   	cabine  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
cable   	cabo    	 0.60	 0.60	 0.40	 0.40	 0.57	 0.33	 0.46	 0.48	
cafe    	cafe    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cafeteria	cafeteria	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
canal   	canal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
cancer  	cancer  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
capital 	capital 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
carbon  	carbono 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.02	 1.00	
center  	centro  	 0.67	 0.83	 0.83	 0.67	 0.72	 0.75	 0.67	 0.84	
cheque  	cheque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
chocolate	chocolate	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
class   	classe  	 1.00	 1.00	 1.00	 0.80	 0.86	 1.00	 0.82	 1.00	
club    	clube   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
coast   	costa   	 0.40	 0.80	 0.80	 0.40	 0.68	 0.67	 0.60	 0.90	
color   	cor     	 0.40	 0.40	 0.40	 0.60	 0.61	 0.29	 0.40	 0.58	
combustion	combustao	 0.80	 0.80	 0.80	 0.40	 0.75	 0.71	 0.69	 0.69	
company 	companhia	 0.86	 0.86	 0.43	 0.57	 0.78	 0.80	 0.83	 0.75	
concert 	concerto	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 0.97	 1.00	
conclusion	conclusao	 0.80	 0.80	 0.80	 0.40	 0.75	 0.74	 0.72	 0.78	
conductor	condutor	 0.56	 0.67	 0.67	 0.78	 0.83	 0.75	 0.81	 0.84	
confusion	confusao	 0.78	 0.78	 0.44	 0.44	 0.73	 0.70	 0.72	 0.75	
construction	construcao	 0.67	 0.67	 0.67	 0.25	 0.69	 0.64	 0.68	 0.79	
continent	continente	 1.00	 1.00	 1.00	 0.44	 0.91	 1.00	 0.86	 1.01	
control 	controle	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 1.00	 1.00	
crisis  	crise   	 0.67	 0.67	 0.67	 0.50	 0.62	 0.67	 0.58	 0.82	
culture 	cultura 	 0.86	 0.86	 0.86	 0.86	 0.78	 0.80	 0.79	 0.73	
debate  	debate  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
decision	decisao 	 0.75	 0.75	 0.50	 0.50	 0.70	 0.69	 0.53	 0.71	
dimension	dimensao	 0.78	 0.78	 0.44	 0.44	 0.73	 0.70	 0.66	 0.84	
direction	direcao 	 0.56	 0.67	 0.56	 0.44	 0.61	 0.48	 0.49	 0.60	
director	diretor 	 0.50	 0.62	 0.88	 0.88	 0.82	 0.67	 0.74	 0.78	
disaster	desastre	 0.62	 0.88	 0.88	 0.62	 0.75	 0.69	 0.53	 0.62	
disco   	disco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
distance	distancia	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.87	 0.78	
division	divisao 	 0.75	 0.75	 0.50	 0.50	 0.70	 0.69	 0.45	 0.70	
doctor  	doutor  	 0.83	 0.50	 0.83	 0.83	 0.88	 0.58	 0.54	 0.75	
dragon  	dragao  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.78	 0.75	
drama   	drama   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
editorial	editorial	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
elephant	elefante	 0.38	 0.50	 0.50	 0.38	 0.62	 0.41	 0.43	 0.71	
enigma  	enigma  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excursion	excursao	 0.78	 0.78	 0.78	 0.44	 0.73	 0.67	 0.65	 0.67	
explosion	explosao	 0.78	 0.78	 0.78	 0.44	 0.73	 0.67	 0.65	 0.64	
expulsion	expulsao	 0.78	 0.78	 0.78	 0.44	 0.73	 0.67	 0.65	 0.67	
extension	extensao	 0.78	 0.78	 0.78	 0.44	 0.73	 0.67	 0.62	 0.76	
exterior	exterior	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
factor  	fator   	 0.33	 0.50	 0.83	 0.67	 0.81	 0.58	 0.64	 0.72	
family  	familia 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.81	 0.76	
festival	festival	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
final   	final   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
formula 	formula 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
funeral 	funeral 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
galaxy  	galaxia 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.70	 0.66	 0.68	
general 	general 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
genesis 	genese  	 0.71	 0.71	 0.57	 0.43	 0.67	 0.58	 0.56	 0.70	
multiple	multiplo	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.85	 0.76	
music   	musica  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
musical 	musical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
nostalgia	nostalgia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
object  	objeto  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
observatory	observatorio	 0.91	 0.82	 0.82	 0.36	 0.85	 0.89	 0.91	 0.84	
occasion	ocasiao 	 0.38	 0.50	 0.38	 0.38	 0.65	 0.73	 0.67	 0.72	
ocean   	oceano  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
opera   	opera   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
opportunity	oportunidade	 0.18	 0.36	 0.36	 0.18	 0.65	 0.71	 0.64	 0.73	
original	original	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
palace  	palacio 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.70	 0.65	 0.68	
