actor	ator
clerk	escriturario
cereal	cereal
pepper	pimenta
error	erro
laugh	risada
piano	piano
bench	banco
origin	origem
security	seguranca
dentist	dentista
surgeon	cirurgiao
accident	acidente
destruction	destruicao
improvement	melhoria
fruit	fruta
candy	bala
desert	deserto
jungle	selva
discount	desconto
salesman	vendedor
suggestion	sugestao
assumption	suposicao
instruction	instrucao
measurement	medicao
inspector	inspetor
physician	medico
tractor	trator
insect	inseto
potato	batata
talent	talento
academy	Academia
lecture	leitura
fantasy	fantasia
camera	camera
author	autor
tourist	turista
emperor	imperador
restaurant	restaurante
enterprise	empreendimento
guitar	violao
finger	fingir
carpet	carpete
bomb	bomba
salsa	salsa
actual	atual
alms	almas
avocado	abacate 
balcony	balcao
beef	bife
brand	brando
bland	brando
candor	candor
cargo	cargo
commodity	comodidade
comprehensive	compreensivo
construe	construir
doze	doce/doze
invite	convidar
exit	exito
fabric	fabrica
file	fila
grip	gripe
excited	excitado
devil	debil
intent	intencao
air	ar
adult	adulto
agenda	agenda
agent	agente
alarm	alarme
alcohol	alcool
altar	altar
area	area
artist	artista
atmosphere	atmosfera
attention	atencao
banana	banana
base	base
blouse	blusa
cabin	cabine
cable	cabo
cafe	cafe
cafeteria	cafeteria
canal	canal
cancer	cancer
capital	capital
carbon	carbono
center	centro
cheque	cheque
chocolate	chocolate
class	classe
club	clube
coast	costa
color	cor
combustion	combustao
company	companhia
concert	concerto
conclusion	conclusao
conductor	condutor
confusion	confusao
construction	construcao
continent	continente
control	controle 
crisis	crise
culture	cultura
debate	debate
decision	decisao
dimension	dimensao
direction	direcao
director	diretor
disaster	desastre 
disco	disco
distance	distancia
division	divisao
doctor	doutor
dragon	dragao
drama	drama
editorial	editorial
elephant	elefante
enigma	enigma
excursion	excursao
explosion	explosao 
expulsion	expulsao
extension	extensao
exterior	exterior
factor	fator
family	familia
festival	festival
final	final
formula	formula
funeral	funeral
galaxy	galaxia
general	general
genesis	genese
multiple	multiplo
music	musica
musical	musical
nostalgia	nostalgia
object	objeto
observatory	observatorio
occasion	ocasiao
ocean	oceano
opera	opera
opportunity	oportunidade
original	original
palace	palacio
panic	panico
panorama	panorama
paradise	paraiso
park	parque
part	parte
pastor	pastor
patience	paciencia
patio	patio
perfume	perfume
photo	foto
planet	planeta
plans	planos 
plants	plantas
plaza	praca
pretension	pretensao
propaganda	propaganda
protector	protetor
radical	radical
radio	radio
ranch	rancho 
reality	realidade
region	regiao
religion	religiao
reunion	reuniao
revision	revisao
ritual	ritual
savor	sabor
salary	salario
series	serie
sofa	sofa
subversion	subversao
taxi	taxi
television	televisao
terror	terror
total	total
transit	transito
uniform	uniforme
union	uniao
universe	universo
university	universidade
vegetables	vegetais
velocity	velocidade
version	versao
violin	violino
advertising	advertencia
jug	jugo
jar	jarra
sob	sob
leopard	leopardo
hippopotamus	hipopotamo
group	grupo
problem	problema
human	humano
information	informacao
moment	momento
list	lista
mortal	mortal
exams	exames
computer	computador
apartment	apartamento
animals	animais
movements	movimentos
metabolism	metabolismo
equipment	equipamento
department	departamento
crocodile	crocodilo
calendar	calendario
auditorium	auditorio
activities	atividades
access	acesso
academic	academico
electricity	eletricidade
effects	efeito
dissertation	dissertacao
dictionary	dicionario
competition	competicao
memory	memoria
line	linha
local	local
history	historia
million	milhao
idea	ideia
material	material
hour	hora
hotel	hotel
manner	maneira
hospital	hospital
gas	gas
independence	independencia
metal	metal
ideal	ideal
motor	motor
minute	minuto
intelligence	inteligencia
identification	identificacao
magic	magico
lesson	licao
mate	mate
inspection	inspecao
lemon	limao
horror	horror
invasion	invasao
map	mapa
mania	mania 
manual	manual
menu	menu
helicopter	helicoptero
melon	melao
society	sociedade
cores	cores
dent	dente
assume	assumir
pull	pular
collar	collar
army	arma
eventually	eventualmente
large	largo
rim	rim
resume	resumir
sensual	sensual
amass	amassar
pretend	pretender
support	suporte
record	recorde 
assist	assistir
parents	parente
legend	legenda
mayor	maior
library	livraria
comment	comentar
complete	complete
diversion	diversao
imagine	imagine
consult	consulta
amplify	amplificar
simplify	simplificar
celebrate	celebrar
divert	divertir
possible	possivel
dependable	dependente
curse	curso
motivated	motivado
dairy	diario
associated	associado
costume	costume
convict	convicto
contest	contestar
confident	confidente
sensibility	sensibilidade
system	sistema
college	colegio
camp	campo
pacific	pacifico
bond	bonde
available	avaliavel
responsible	responsavel
attend	atender
basic	basico
vehicle	veiculo
red	rede
letter	letra
anthem	antena
scholar	escolar
retired	retirar
novel	novela
medicine	medicina
lunch	lanche
net	neto
drug	droga
junk	junco
policy	policia
notice	noticia
pasta	pasta
maul	mau
dogma	dogma
prejudice	prejuizo
office	oficio
flange	flange
flank	flanco
trace	tracar
inhabitable	inabitavel
journal	jornal
exquisite	esquisito
push	puxar
fill	fila
condiment	condimento
augment	aumentar
brink	brinco
cup	copa
project	projeto
embarrassed	embaracada
preference	preferencia
date	data
gaffe	gafe
gracious	gracioso
panel	painel
priority	prioridade
integral	integral
vital	vital
fatal	fatal
card	cartao
vista	vista
scenario	cenario
