Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
actor   	actor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
clerk   	empleado	 0.00	 0.20	 0.20	 0.00	 0.29	 0.11	 0.20	 0.06	
cereal  	cereal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
pepper  	pimienta	 0.33	 0.17	 0.17	 0.17	 0.26	 0.00	 0.00	 0.21	
error   	error   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.63	 1.00	
laugh   	risa    	 0.00	 0.00	 0.00	 0.00	 0.14	 0.00	 0.00	 0.00	
piano   	piano   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
bench   	banco   	 0.60	 0.60	 0.20	 0.60	 0.57	 0.33	 0.27	 0.24	
origin  	origen  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.80	 0.55	 0.94	
security	seguridad	 0.62	 0.62	 0.50	 0.38	 0.60	 0.39	 0.41	 0.48	
dentist 	dentista	 1.00	 1.00	 1.00	 0.57	 0.89	 1.00	 0.97	 1.00	
surgeon 	cirujano	 0.29	 0.14	 0.29	 0.14	 0.28	 0.00	 0.07	 0.05	
accident	accidente	 1.00	 1.00	 1.00	 0.50	 0.90	 1.00	 0.91	 1.00	
destruction	destruccion	 0.91	 0.82	 0.82	 0.82	 0.92	 0.78	 0.82	 0.97	
improvement	mejora  	 0.00	 0.00	 0.00	 0.00	 0.18	 0.08	 0.10	 0.11	
fruit   	fruta   	 0.60	 0.80	 0.80	 0.60	 0.68	 0.56	 0.60	 0.70	
candy   	caramelo	 0.40	 0.40	 0.40	 0.40	 0.43	 0.11	 0.20	 0.28	
desert  	Desierto	 0.50	 0.83	 0.83	 0.50	 0.77	 0.90	 0.72	 0.96	
jungle  	jungla  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
discount	descuento	 0.62	 0.62	 0.62	 0.38	 0.67	 0.50	 0.41	 0.60	
salesman	vendedor	 0.00	 0.12	 0.12	 0.00	 0.11	 0.00	 0.00	 0.03	
suggestion	sugerencia	 0.30	 0.40	 0.40	 0.30	 0.46	 0.30	 0.31	 0.58	
assumption	suposicion	 0.30	 0.20	 0.20	 0.30	 0.44	 0.38	 0.38	 0.38	
instruction	instruccion	 0.91	 0.73	 0.73	 0.82	 0.92	 0.77	 0.82	 0.96	
measurement	medicion	 0.18	 0.18	 0.27	 0.18	 0.25	 0.04	 0.08	 0.22	
inspector	inspector	 1.00	 0.89	 0.89	 1.00	 1.00	 1.00	 1.00	 1.00	
physician	medico  	 0.00	 0.22	 0.11	 0.11	 0.18	 0.05	 0.03	 0.02	
tractor 	tractor 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
insect  	insecto 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
potato  	patata  	 0.67	 0.67	 0.67	 0.67	 0.62	 0.50	 0.31	 0.48	
talent  	talento 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
academy 	Academia	 0.86	 0.86	 0.86	 0.57	 0.78	 0.79	 0.72	 0.74	
lecture 	lectura 	 0.86	 0.86	 0.86	 0.86	 0.78	 0.80	 0.83	 0.90	
fantasy 	fantasia	 0.86	 0.86	 0.86	 0.57	 0.78	 0.80	 0.80	 0.73	
camera  	camara  	 0.83	 0.83	 0.83	 0.83	 0.78	 0.58	 0.61	 0.77	
author  	autor   	 0.50	 0.67	 0.67	 0.83	 0.81	 0.58	 0.64	 0.75	
tourist 	turista 	 0.14	 0.14	 0.43	 0.14	 0.75	 0.73	 0.74	 0.65	
emperor 	emperador	 0.71	 0.71	 0.71	 0.86	 0.84	 0.79	 0.74	 0.92	
restaurant	restaurante	 1.00	 1.00	 1.00	 0.40	 0.92	 1.00	 0.98	 1.00	
enterprise	empreendimento	 0.10	 0.20	 0.20	 0.10	 0.35	 0.41	 0.36	 0.57	
guitar  	guitarra	 1.00	 1.00	 0.83	 0.50	 0.88	 1.00	 1.02	 1.00	
finger  	fingir  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.65	 0.81	
carpet  	carpeta 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
bomb    	bomba   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 0.92	 1.00	
salsa   	salsa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.86	 1.00	
actual  	actual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
alms    	almas   	 0.75	 1.00	 1.00	 0.75	 0.95	 1.00	 0.87	 0.86	
avocado 	aguacate	 0.14	 0.43	 0.43	 0.29	 0.38	 0.14	 0.15	 0.20	
balcony 	balcon  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.75	
beef    	carne   	 0.00	 0.00	 0.00	 0.00	 0.17	 0.00	 0.00	 0.00	
brand   	blando  	 0.80	 0.80	 0.80	 0.40	 0.71	 0.56	 0.54	 0.54	
bland   	blando  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
candor  	candor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cargo   	cargo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
commodity	comodidad	 0.33	 0.67	 0.67	 0.33	 0.59	 0.59	 0.55	 0.64	
comprehensive	comprensivo	 0.46	 0.38	 0.38	 0.46	 0.54	 0.68	 0.72	 0.82	
construe	construir	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.86	 0.78	
doze    	doce    	 0.75	 0.75	 0.75	 0.75	 0.83	 0.50	 0.37	 0.71	
invite  	invitar 	 0.83	 0.83	 0.33	 0.50	 0.75	 0.75	 0.74	 0.71	
exit    	exito   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
fabric  	fabrica 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
file    	fila    	 0.75	 0.75	 0.75	 0.75	 0.67	 0.50	 0.63	 0.59	
grip    	gripe   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
