Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
ator    	actor   	 0.25	 0.50	 1.00	 0.75	 0.95	 0.83	 0.82	 0.75	
escriturario	clerk   	 0.08	 0.08	 0.08	 0.00	 0.11	 0.07	 0.02	 0.06	
cereal  	cereal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
pimenta 	pepper  	 0.14	 0.29	 0.29	 0.14	 0.30	 0.07	 0.02	 0.12	
erro    	error   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 0.76	 1.00	
risada  	laugh   	 0.00	 0.00	 0.00	 0.00	 0.12	 0.00	 0.00	 0.00	
piano   	piano   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
banco   	bench   	 0.60	 0.60	 0.20	 0.60	 0.57	 0.33	 0.27	 0.24	
origem  	origin  	 0.67	 0.67	 0.67	 0.67	 0.62	 0.50	 0.60	 0.55	
seguranca	security	 0.44	 0.44	 0.33	 0.33	 0.45	 0.24	 0.23	 0.45	
dentista	dentist 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.82	 0.76	
cirurgiao	surgeon 	 0.11	 0.22	 0.00	 0.11	 0.34	 0.21	 0.23	 0.11	
acidente	accident	 0.25	 0.50	 0.50	 0.25	 0.77	 0.78	 0.80	 0.91	
destruicao	destruction	 0.70	 0.70	 0.70	 0.40	 0.75	 0.75	 0.65	 0.86	
melhoria	improvement	 0.12	 0.12	 0.00	 0.00	 0.20	 0.06	 0.15	 0.14	
fruta   	fruit   	 0.60	 0.80	 0.80	 0.60	 0.68	 0.56	 0.60	 0.70	
bala    	candy   	 0.25	 0.25	 0.25	 0.25	 0.17	 0.00	 0.00	 0.00	
deserto 	desert  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.77	 0.72	 0.72	
selva   	jungle  	 0.00	 0.00	 0.00	 0.00	 0.18	 0.00	 0.05	 0.00	
desconto	discount	 0.50	 0.75	 0.75	 0.50	 0.65	 0.50	 0.48	 0.57	
vendedor	salesman	 0.00	 0.12	 0.12	 0.00	 0.11	 0.00	 0.00	 0.03	
sugestao	suggestion	 0.38	 0.62	 0.88	 0.38	 0.75	 0.67	 0.71	 0.80	
suposicao	assumption	 0.11	 0.22	 0.11	 0.00	 0.36	 0.29	 0.20	 0.40	
instrucao	instruction	 0.78	 0.78	 0.78	 0.56	 0.79	 0.76	 0.75	 0.82	
medicao 	measurement	 0.29	 0.29	 0.29	 0.29	 0.34	 0.07	 0.14	 0.32	
inspetor	inspector	 0.62	 0.62	 0.62	 0.88	 0.92	 0.83	 0.89	 0.98	
medico  	physician	 0.00	 0.33	 0.17	 0.17	 0.25	 0.08	 0.17	 0.03	
trator  	tractor 	 0.50	 0.67	 1.00	 1.00	 0.90	 0.73	 0.79	 1.05	
inseto  	insect  	 0.67	 0.67	 0.50	 0.67	 0.72	 0.67	 0.68	 0.75	
batata  	potato  	 0.50	 0.50	 0.50	 0.50	 0.28	 0.50	 0.25	 0.19	
talento 	talent  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.77	
academia	academy 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.65	 0.61	 0.74	
leitura 	lecture 	 0.71	 0.43	 0.71	 0.71	 0.67	 0.47	 0.48	 0.56	
fantasia	fantasy 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.71	 0.68	 0.79	
camera  	camera  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
autor   	author  	 0.60	 0.80	 0.80	 1.00	 0.92	 0.78	 0.81	 0.95	
turista 	tourist 	 0.14	 0.14	 0.43	 0.14	 0.75	 0.73	 0.74	 0.66	
imperador	emperor 	 0.44	 0.44	 0.44	 0.56	 0.51	 0.38	 0.46	 0.26	
restaurante	restaurant	 0.91	 0.91	 0.91	 0.36	 0.85	 0.88	 0.86	 0.93	
empreendedor	entrepreneur	 0.33	 0.33	 0.33	 0.17	 0.52	 0.43	 0.35	 0.45	
