ator	actor
escriturario	clerk
cereal	cereal
pimenta	pepper
erro	error
risada	laugh
piano	piano
banco	bench
origem	origin
seguranca	security
dentista	dentist
cirurgiao	surgeon
acidente	accident
destruicao	destruction
melhoria	improvement
fruta	fruit
bala	candy
deserto	desert
selva	jungle
desconto	discount
vendedor	salesman
sugestao	suggestion
suposicao	assumption
instrucao	instruction
medicao	measurement
inspetor	inspector
medico	physician
trator	tractor
inseto	insect
batata	potato
talento	talent
academia	academy
leitura	lecture
fantasia	fantasy
camera	camera
autor	author
turista	tourist
imperador	emperor
restaurante	restaurant
empreendedor	entrepreneur
violao	guitar
fingir	finger
carpete	carpet
bomba	bomb
salsa	salsa
atual	actual
almas	alms
abacate 	avocado
balcao	balcony
bife	beef
brando	brand
brando	bland
candor	candor
cargo	cargo
comodidade	commodity
compreensivo	comprehensive
construir	construe
doce/doze	doze
convidar	invite
exito	exit
fabrica	fabric
fila	file
gripe	grip
excitado	excited
debil	devil
intencao	intent
ar	air
adulto	adult
agenda	agenda
agente	agent
alarme	alarm
alcool	alcohol
altar	altar
area	area
artista	artist
atmosfera	atmosphere
atencao	attention
banana	banana
base	base
blusa	blouse
cabine	cabin
cabo	cable
cafe	cafe
cafeteria	cafeteria
canal	canal
cancer	cancer
capital	capital
carbono	carbon
centro	center
cheque	cheque
chocolate	chocolate
classe	class
clube	club
costa	coast
cor	color
combustao	combustion
companhia	company
concerto	concert
conclusao	conclusion
condutor	conductor
confusao	confusion
construcao	construction
continente	continent
controle 	control
crise	crisis
cultura	culture
debate	debate
decisao	decision
dimensao	dimension
direcao	direction
diretor	director
desastre 	disaster
disco	disco
distancia	distance
divisao	division
doutor	doctor
dragao	dragon
drama	drama
editorial	editorial
elefante	elephant
enigma	enigma
excursao	excursion
explosao 	explosion
expulsao	expulsion
extensao	extension
exterior	exterior
fator	factor
familia	family
festival	festival
final	final
formula	formula
funeral	funeral
galaxia	galaxy
general	general
genese	genesis
multiplo	multiple
musica	music
musical	musical
nostalgia	nostalgia
objeto	object
observatorio	observatory
ocasiao	occasion
oceano	ocean
opera	opera
oportunidade	opportunity
original	original
palacio	palace
panico	panic
panorama	panorama
paraiso	paradise
parque	park
parte	part
pastor	pastor
paciencia	patience
patio	patio
perfume	perfume
foto	photo
planeta	planet
plano	plan
planta	plant
praca	plaza
pretensao	pretension
propaganda	propaganda
protetor	protector
radical	radical
radio	radio
rancho 	ranch
realidade	reality
regiao	region
religiao	religion
reuniao	reunion
revisao	revision
ritual	ritual
sabor	savor
salario	salary
serie	series
sofa	sofa
subversao	subversion
taxi	taxi
televisao	television
terror	terror
total	total
transito	transit
uniforme	uniform
uniao	union
universo	universe
universidade	university
vegetal	vegetable
velocidade	velocity
versao	version
violino	violin
advertencia	advertising
jugo	jug
jarra	jar
sob	sob
leopardo	leopard
hipopotamo	hippopotamus
grupo	group
problema	problem
humano	human
informacao	information
momento	moment
lista	list
mortal	mortal
exame	exam
computador	computer
apartamento	apartment
animal	animal
movimento	movement
metabolismo	metabolism
equipamento	equipment
departamento	department
crocodilo	crocodile
calendario	calendar
auditorio	auditorium
atividades	activities
acesso	access
academico	academic
eletricidade	electricity
efeito	effects
dissertacao	dissertation
dicionario	dictionary
competicao	competition
memoria	memory
linha	line
local	local
historia	history
milhao	million
ideia	idea
material	material
hora	hour
hotel	hotel
maneira	manner
hospital	hospital
gas	gas
independencia	independence
metal	metal
ideal	ideal
motor	motor
minuto	minute
inteligencia	intelligence
identificacao	identification
magico	magic
licao	lesson
mate	mate
inspecao	inspection
limao	lemon
horror	horror
invasao	invasion
mapa	map
mania 	mania
manual	manual
menu	menu
helicoptero	helicopter
melao	melon
sociedade	society
cores	cores
dente	dent
assumir	assume
pular	pull
collar	collar
arma	army
eventualmente	eventually
largo	large
rim	rim
resumir	resume
sensual	sensual
amassar	amass
pretender	pretend
suporte	support
recorde 	record
assistir	assist
parente	parents
legenda	legend
maior	mayor
livraria	library
comentar	comment
completo	complete
diversao	diversion
imaginar	imagine
consulta	consult
amplificar	amplify
simplificar	simplify
celebrar	celebrate
divertir	divert
possivel	possible
dependente	dependable
curso	curse
motivado	motivated
diario	dairy
associado	associated
costume	costume
convicto	convict
contestar	contest
confidente	confident
sensibilidade	sensibility
sistema	system
colegio	college
campo	camp
pacifico	pacific
bonde	bond
avaliavel	available
responsavel	responsible
atender	attend
basico	basic
veiculo	vehicle
rede	red
letra	letter
antena	anthem
escolar	scholar
retirar	retired
novela	novel
medicina	medicine
lanche	lunch
neto	net
droga	drug
junco	junk
policia	policy
noticia	notice
pasta	pasta
mau	maul
dogma	dogma
prejuizo	prejudice
oficio	office
flange	flange
flanco	flank
tracar	trace
inabitavel	inhabitable
jornal	journal
esquisito	exquisite
puxar	push
fila	fill
condimento	condiment
aumentar	augment
brinco	brink
copa	cup
projeto	project
embaracada	embarrassed
preferencia	preference
data	date
gafe	gaffe
gracioso	gracious
painel	panel
prioridade	priority
integral	integral
vital	vital
fatal	fatal
cartao	card
vista	vista
cenario	scenario
