Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
ator    	actor   	 0.25	 0.50	 1.00	 0.75	 1.00	 0.83	 0.82	 0.75	
escriturario	empleado	 0.08	 0.08	 0.08	 0.17	 0.36	 0.04	 0.01	 0.13	
cereal  	cereal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
pimenta 	pimienta	 0.43	 0.71	 0.71	 0.86	 1.00	 0.87	 0.97	 0.97	
erro    	error   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 0.76	 1.00	
risada  	risa    	 0.67	 0.67	 0.50	 0.50	 0.75	 0.55	 0.58	 0.69	
piano   	piano   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
banco   	banco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
origem  	origen  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
seguranca	seguridad	 0.56	 0.67	 0.67	 0.56	 0.64	 0.48	 0.50	 0.65	
seguranca	seguridad	 0.56	 0.67	 0.67	 0.56	 0.64	 0.48	 0.50	 0.65	
dentista	dentista	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
cirurgiao	cirujano	 0.44	 0.44	 0.44	 0.56	 0.73	 0.42	 0.35	 0.70	
acidente	accidente	 0.25	 0.62	 0.62	 0.75	 1.00	 0.94	 0.94	 0.96	
sotao   	sotano  	 0.80	 1.00	 0.80	 0.80	 1.00	 0.89	 0.81	 0.98	
destruicao	destruccion	 0.80	 0.70	 0.70	 0.40	 0.83	 0.71	 0.68	 0.86	
melhoria	mejora  	 0.25	 0.38	 0.50	 0.38	 0.70	 0.28	 0.30	 0.51	
fruta   	fruta   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
bala    	caramelo	 0.50	 0.50	 0.75	 0.50	 0.50	 0.40	 0.10	 0.17	
deserto 	Desierto	 0.43	 0.71	 0.71	 0.86	 1.00	 0.92	 0.77	 0.97	
selva   	jungla  	 0.00	 0.20	 0.20	 0.20	 0.43	 0.11	 0.12	 0.02	
desconto	descuento	 0.50	 0.75	 0.75	 0.88	 0.90	 0.61	 0.67	 0.93	
vendedor	vendedor	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
sugestao	sugerencia	 0.50	 0.50	 0.38	 0.50	 0.60	 0.33	 0.41	 0.53	
suposicao	suposicion	 0.89	 0.89	 0.56	 0.44	 0.82	 0.81	 0.80	 0.85	
instrucao	instruccion	 0.78	 0.78	 0.78	 0.56	 0.82	 0.76	 0.78	 0.82	
