ator	actor
cereal	cereal
pimenta	pimienta
erro	error
risada	risa
piano	piano
banco	banco
origem	origen
seguranca	seguridad
dentista	dentista
cirurgiao	cirujano
acidente	accidente
sotao	sotano
destruicao	destruccion
melhoria	mejora
fruta	fruta
bala	caramelo
deserto	desierto
desconto	descuento
vendedor	vendedor
sugestao	sugerencia
suposicao	suposicion
instrucao	instruccion
medicao	medicion
inspetor	inspector
medico	medico
trator	tractor
inseto	insecto
batata	patata
talento	talento
arma	arma
academia	academia
leitura	lectura
fantasia	fantasia
camera	camara
escada	escalera
autor	autor
leitor	lector
turista	turista
imperador	emperador
restaurante	restaurante
empreendedor	emprendedor
violao	guitarra
espelho	espejo
passaro	pajaro
manteiga	mantequilla
vela	vela
cerveja	cerveza
lingua	lengua
revista	revista
vizinho	vecino
empregado	empleado
final	finalizando
comprometimento	compromiso
carpete	carpeta
bomba	bomba
salsa	salsa
atual	actual
almas	almas
abacate 	aguacate 
balcao	balcon
bife	carne
brando	blando
brando	blando
candor	candor
cargo	cargo
comodidade	comodidad
construir	construir
doce/doze	doce
convidar	invitar
exito	exito
fabrica	fabrica
fila	fila
gripe	gripe
debil	debil
intencao	intencion
ar	aire
adulto	adulto
agenda	agenda
agente	agente
alarme	alarma
alcool	alcohol
altar	altar
area	area
artista	artista
atmosfera	atmosfera
atencao	atencion
banana	banana
base	base
blusa	blusa
cabine	cabina
cabo	cable
cafe	cafe
cafeteria	cafeteria
canal	canal
cancer	cancer
capital	capital
carbono	carbon
centro	centro
cheque	cheque
chocolate	chocolate
classe	clase
clube	club
costa	costa
cor	color
combustao	combustion
companhia	compania
concerto	concierto
conclusao	conclusion
condutor	conductor
confusao	confusion
construcao	construccion
continente	continente
controle 	control
crise	crisis
cultura	cultura
debate	debate
decisao	decision
dimensao	dimension
direcao	direccion
diretor	director
desastre 	desastre
disco	disco
distancia	distancia
divisao	division
doutor	doctor
dragao	dragon
drama	drama
editorial	editorial
elefante	elefante
enigma	enigma
excursao	excursion
explosao 	explosion
expulsao	expulsion
extensao	extension
exterior	exterior
fator	factor
familia	familia
festival	festival
final	final
formula	formula
funeral	funeral
galaxia	galaxia
general	general
genese	genesis
multiplo	multiple
musica	musica
musical	musical
nostalgia	nostalgia
objeto	objeto
observatorio	observatorio
ocasiao	ocasion
oceano	oceano
opera	opera
oportunidade	oportunidad
original	original
palacio	palacio
panico	panico
panorama	panorama
paraiso	paraiso
parque	parque
parte	parte
pastor	pastor
paciencia	paciencia
patio	patio
perfume	perfume
foto	foto
planeta	planeta
plano	plan
planta	planta
praca	plaza
pretensao	pretension
propaganda	propaganda
protetor	protector
radical	radical
radio	radio
rancho 	rancho
realidade	realidad
regiao	region
religiao	religion
reuniao	reunion
revisao	revision
ritual	ritual
sabor	sabor
salario	salario
serie	serie
sofa	sofa
subversao	subversion
taxi	taxi
televisao	television
terror	terror
total	total
transito	transito
uniforme	uniforme
uniao	union
universo	universo
universidade	universidad
vegetal	vegetal
velocidade	velocidad
versao	version
violino	violin
advertencia	advertencia
jugo	jugo
sob	sobre
leopardo	leopardo
hipopotamo	hipopotamo
grupo	grupo
problema	problema
humano	humano
informacao	informacion
momento	momento
lista	lista
mortal	mortal
exame	examen
computador	computadora
apartamento	apartamento
animal	animal
movimento	movimiento
metabolismo	metabolismo
equipamento	equipo
departamento	departamento
crocodilo	cocodrilo
calendario	calendario
auditorio	auditorio
atividades	actvidades
acesso	acceso
academico	academico
eletricidade	electricidad
efeito	efecto
dissertacao	disertacion
dicionario	diccionario
competicao	competicion
memoria	memoria
linha	linea
local	local
historia	historia
milhao	millon
ideia	idea
material	material
hora	hora
hotel	hotel
maneira	manera
hospital	hospital
gas	gas
independencia	independencia
metal	metal
ideal	ideal
motor	motor
minuto	minuto
inteligencia	inteligencia
identificacao	identificacion
magico	magico
licao	leccion
mate	mate
inspecao	inspeccion
limao	limon
horror	horror
invasao	invasion
mapa	mapa
mania 	mania
manual	manual
maestro	maestro
helicoptero	helicoptero
melao	melon
sociedade	sociedad
assumir	asumir
collar	collar
arma	arma
eventualmente	eventualmente
largo	largo
resumir	resumir
sensual	sensual
amassar	amasar
pretender	pretender
suporte	soporte
recorde 	record
assistir	asistir
parente	pariente
legenda	leyenda
livraria	libreria
comentar	comentar
completo	completo
diversao	diversion
imaginar	imaginar
consulta	consulta
amplificar	amplificar
simplificar	simplificar
celebrar	celebrar
divertir	divertir
possivel	posible
dependente	dependiente
curso	curso
motivado	motivado
diario	diario
associado	asociado
costume	costumbre
convicto	convicto
contestar	contestar
confidente	confidente
sensibilidade	sensibilidad
sistema	sistema
colegio	colegio
campo	campo
pacifico	pacifico
bonde	bondad
avaliavel	avalado
responsavel	responsable
atender	atender
basico	basico
veiculo	vehiculo
rede	red
letra	letra
antena	antena
retirar	retirado
novela	novela
medicina	medicina
lanche	lancha
neto	neto
droga	droga
junco	junco
policia	policia
noticia	noticia
pasta	pasta
mau	maula
dogma	dogma
prejuizo	prejuicio
oficio	oficio
flanco	flanco
tracar	trazar
inabitavel	inhabitado
jornal	jornal
esquisito	exquisito
puxar	puso
condimento	condimento
aumentar	aumentar
brinco	brinco
copa	copa
projeto	proyecto
embaracada	embarazada
preferencia	preferencia
data	dato
gracioso	gracioso
painel	panel
prioridade	prioridad
integral	integral
vital	vital
fatal	fatal
cartao	carton
vista	vista
cenario	escenario
