Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
actor   	actor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
empleado	clerk   	 0.00	 0.12	 0.12	 0.00	 0.20	 0.06	 0.11	 0.04	
cereal  	cereal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.87	 1.00	
pimienta	pepper  	 0.25	 0.12	 0.12	 0.12	 0.23	 0.00	 0.00	 0.12	
error   	error   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.63	 1.00	
risa    	laugh   	 0.00	 0.00	 0.00	 0.00	 0.17	 0.00	 0.00	 0.00	
piano   	piano   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
banco   	bench   	 0.60	 0.60	 0.20	 0.60	 0.57	 0.33	 0.27	 0.24	
origen  	origin  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.67	 0.82	
seguridad	security	 0.56	 0.56	 0.44	 0.33	 0.55	 0.35	 0.36	 0.47	
dentista	dentist 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.82	 0.76	
cirujano	surgeon 	 0.25	 0.12	 0.25	 0.12	 0.26	 0.00	 0.06	 0.04	
accidente	accident	 0.89	 0.89	 0.89	 0.44	 0.82	 0.83	 0.76	 0.91	
destruccion	destruction	 0.91	 0.82	 0.82	 0.82	 0.92	 0.91	 0.87	 0.99	
mejora  	improvement	 0.00	 0.00	 0.00	 0.00	 0.29	 0.17	 0.22	 0.19	
fruta   	fruit   	 0.60	 0.80	 0.80	 0.60	 0.68	 0.56	 0.60	 0.70	
caramelo	candy   	 0.25	 0.25	 0.25	 0.25	 0.30	 0.06	 0.11	 0.19	
desierto	desert  	 0.38	 0.62	 0.62	 0.38	 0.62	 0.50	 0.59	 0.60	
jungla  	jungle  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
descuento	discount	 0.56	 0.56	 0.56	 0.33	 0.61	 0.43	 0.36	 0.53	
vendedor	salesman	 0.00	 0.12	 0.12	 0.00	 0.11	 0.00	 0.00	 0.03	
sugerencia	suggestion	 0.30	 0.40	 0.40	 0.30	 0.46	 0.27	 0.29	 0.55	
suposicion	assumption	 0.30	 0.20	 0.20	 0.30	 0.44	 0.36	 0.36	 0.43	
instruccion	instruction	 0.91	 0.73	 0.73	 0.82	 0.92	 0.91	 0.87	 0.98	
medicion	measurement	 0.25	 0.25	 0.38	 0.25	 0.33	 0.06	 0.12	 0.33	
inspector	inspector	 1.00	 0.89	 0.89	 1.00	 1.00	 1.00	 1.00	 1.00	
medico  	physician	 0.00	 0.33	 0.17	 0.17	 0.25	 0.08	 0.17	 0.03	
tractor 	tractor 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
insecto 	insect  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.75	
patata  	potato  	 0.67	 0.67	 0.67	 0.67	 0.53	 0.83	 0.33	 0.67	
talento 	talent  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.77	
academia	academy 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.65	 0.61	 0.74	
lectura 	lecture 	 0.86	 0.86	 0.86	 0.86	 0.78	 0.80	 0.83	 0.75	
fantasia	fantasy 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.71	 0.68	 0.79	
camara  	camera  	 0.83	 0.83	 0.83	 0.83	 0.78	 0.88	 0.50	 0.98	
autor   	author  	 0.60	 0.80	 0.80	 1.00	 0.92	 0.78	 0.81	 0.95	
turista 	tourist 	 0.14	 0.14	 0.43	 0.14	 0.75	 0.73	 0.74	 0.66	
emperador	emperor 	 0.56	 0.56	 0.56	 0.67	 0.69	 0.52	 0.56	 0.67	
restaurante	restaurant	 0.91	 0.91	 0.91	 0.36	 0.85	 0.88	 0.86	 0.93	
emprendedor	entrepreneur	 0.36	 0.27	 0.27	 0.27	 0.59	 0.43	 0.39	 0.41	
guitarra	guitar  	 0.75	 0.75	 0.62	 0.38	 0.70	 0.80	 0.68	 0.87	
fingir  	finger  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.61	 0.92	
carpeta 	carpet  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.90	
bomba   	bomb    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.67	 0.68	
salsa   	salsa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.86	 1.00	
actual  	actual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
almas   	alms    	 0.60	 0.80	 0.80	 0.60	 0.82	 0.67	 0.58	 0.73	
aguacate	avocado 	 0.12	 0.38	 0.38	 0.25	 0.35	 0.13	 0.11	 0.18	
balcon  	balcony 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
carne   	beef    	 0.00	 0.00	 0.00	 0.00	 0.14	 0.00	 0.00	 0.00	
blando  	brand   	 0.67	 0.67	 0.67	 0.33	 0.62	 0.42	 0.42	 0.33	
blando  	bland   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
candor  	candor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cargo   	cargo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
comodidad	commodity	 0.33	 0.67	 0.67	 0.33	 0.56	 0.67	 0.45	 0.72	
comprensivo	comprehensive	 0.55	 0.45	 0.45	 0.55	 0.62	 0.78	 0.87	 0.95	
construir	construe	 0.78	 0.78	 0.78	 0.44	 0.73	 0.71	 0.75	 0.78	
doce    	doze    	 0.75	 0.75	 0.75	 0.75	 0.83	 0.50	 0.37	 0.71	
invitar 	invite  	 0.71	 0.71	 0.29	 0.43	 0.67	 0.60	 0.61	 0.60	
exito   	exit    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
fabrica 	fabric  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.83	 0.90	
fila    	file    	 0.75	 0.75	 0.75	 0.75	 0.67	 0.50	 0.63	 0.59	
gripe   	grip    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
excitado	excited 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.61	 0.60	 0.63	
debil   	devil   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.47	 0.75	
intencion	intent  	 0.56	 0.56	 0.56	 0.33	 0.55	 0.45	 0.48	 0.56	
aire    	air     	 0.75	 0.75	 0.75	 0.50	 0.67	 0.50	 0.63	 0.59	
adulto  	adult   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.79	 0.71	
agenda  	agenda  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
agente  	agent   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.75	 0.76	 0.86	
alarma  	alarm   	 0.83	 0.83	 0.83	 0.50	 0.75	 0.80	 0.63	 0.86	
alcohol 	alcohol 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
altar   	altar   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
area    	area    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
artista 	artist  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.80	 0.75	 0.73	
atmosfera	atmosphere	 0.56	 0.56	 0.56	 0.67	 0.68	 0.52	 0.60	 0.70	
atencion	attention	 0.25	 0.62	 0.62	 0.62	 0.87	 0.61	 0.68	 0.79	
banana  	banana  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.53	 1.00	
base    	base    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
