English	Part_of_speech	Cognate Eng-Port	Cognate_Eng-Span	Cognate_Port-Spanish	False_Cognate_En-PT	False_Cognate_En-Spanish	False_cognate Port-Span	Similar_word_in_Portuguese	Similar_word_in_Spanish	Translation_in_Portuguese	Translation_in_Spanish	Comments
actor	noun	Yes	Yes	yes	No	No	no	ator	actor	ator	actor	
clerk	noun	No	No	no	No	No	no	escriturário	empleado	escriturário	empleado	
cereal	noun	Yes	Yes	yes	No	No	no	cereal	cereal	cereal	cereal	
pepper	noun	No	No	yes	No	No	no	pimenta	pimienta	pimenta	pimienta	
error	noun	Yes	Yes	yes	No	No	no	erro	error	erro	error	
laugh	verb/noun	No	No	yes	No	No	no	risada	risa	risada	risa	
piano	noun	Yes	Yes	yes	No	No	no	piano	piano	piano	piano	
bench	noun	no	No	yes	No	No	no	banco	banco	banco	banco	
origin	noun	Yes	Yes	yes	No	No	no	origem	origen	origem	origen	
safety	noun	no	no	no	no	no	no	segurança	seguridad	segurança	seguridad	
security	noun	yes	yes	yes	no	no	no	segurança	seguridad	segurança	seguridad	
dentist	noun	Yes	Yes	yes	No	No	no	dentista	dentista	dentista	dentista	
surgeon	noun	no	no	no	No	No	No	cirurgião	cirujano	cirurgião	cirujano	
accident	noun	Yes	Yes	yes	No	No	no	acidente	accidente	acidente	accidente	
basement	noun	no	no	yes	no	no	no	sótão	sótano	sótão	sótano	
destruction	noun	Yes	Yes	yes	No	No	no	destruição	destrucción	destruição	destrucción	
improvement	noun	No	No	yes	No	No	no	melhoria	mejora	melhoria	mejora	
fruit	noun	Yes	Yes	yes	No	No	no	fruta	fruta	fruta	fruta	
candy	noun	No	No	no	No	No	yes	bala	caramelo	bala	caramelo	
desert	noun	Yes	Yes	yes	No	No	no	deserto	desierto	deserto	Desierto	
jungle	noun	No	Yes	no	No	No	no	selva	jungla	selva	jungla	selva also exists in Spanish
discount	noun	Yes	Yes	yes	No	No	no	desconto	descuento	desconto	descuento	
salesman	noun	Yes	Yes	yes	No	No	no	vendedor	vendedor	vendedor	vendedor	
suggestion	noun	Yes	Yes	Maybe	No	No	no	sugestão	sugerencia	sugestão	sugerencia	
assumption	noun	Yes	Yes	yes	No	No	no	suposição	suposición	suposição	suposición	
instruction	noun	Yes	Yes	yes	No	No	no	instrução	instrucción	instrução	instrucción	
measurement	noun	yes	yes	yes	no	no	no	medição	medición	medição	medición	
inspector	noun	yes	yes	yes	no	no	no	inspetor	inspector	inspetor	inspector	
physician	noun	no	no	yes	yes	yes	no	médico	médico	médico	médico	
tractor	noun	yes	yes	yes	no	no	no	trator	tractor	trator	tractor	
nursery	noun	no	no	no	no	no	no	berçário	guardería	berçário	guardería	
insect	noun	yes	yes	yes	no	no	no	inseto	insecto	inseto	insecto	
potato	noun	maybe	maybe	yes	no	no	no	batata	patata	batata	patata	
talent	noun	yes	yes	yes	no	no	no	talento	talento	talento	talento	
weapon	noun	no	no	yes	no	no	no	arma	arma	arma	arma	Note that English also has arms which is a cognate
academy	noun	yes	yes	yes	no	no	no	academia	academia	academia	academia	
lecture	noun	yes	yes	yes	yes	yes	no	leitura	lectura	palestra	conferencia	
fantasy	noun	yes	yes	yes	no	no	no	fantasia	fantasía	fantasia	fantasía	Note extra meaning of costume in Portuguese which doesn't exist in Spanish or English
holiday	noun	no	no	no	no	no	no	feriado	vacaciones	feriado	vacaciones	
camera	noun	yes	yes	yes	no	no	no	câmera	cámara	câmera	cámara	
ladder	noun	no	no	yes	no	no	no	escada	escalera	escada	escalera	
author	noun	yes	yes	yes	no	no	no	autor	autor	autor	autor	
reader	noun	no	no	yes	no	no	no	leitor	lector	leitor	lector	
tourist	noun	yes	yes	yes	no	no	no	turista	turista	turista	turista	
emperor	noun	yes	yes	yes	no	no	no	imperador	emperador	imperador	emperador	
restaurant	noun	yes	yes	yes	no	no	no	restaurante	restaurante	restaurante	restaurante	
entrepreneur	noun	yes	yes	yes	no	no	no	empreendedor	emprendedor	empreendedor	emprendedor	
guitar	noun	no	yes	no	yes	yes	yes	violão	guitarra	violão	guitarra	
mirror	noun	no	no	yes	no	no	no	espelho	espejo	espelho	espejo	
corn	noun	no	no	no	no	no	no	milho	naiz	milho	maíz	
meat	noun	no	no	no	no	no	no	carne	carne	carne	carne	
fish	noun	no	no	no	no	no	no	peixe	pez	peixe	pez	
bird	noun	no	no	yes	no	no	no	pássaro	pájaro	pássaro	pájaro	
butter	noun	no	no	yes	no	no	no	manteiga	mantequilla	manteiga	mantequilla	
candle	noun	no	no	yes	no	no	no	vela	vela	vela	vela	
beer	noun	no	no	yes	no	no	no	cerveja	cerveza	cerveja	cerveza	
meal	noun	no	no	no	no	no	no	refeição	comida	refeição	comida	
knee	noun	no	no	no	no	no	no	joelho	rodilla	joelho	rodilla	
bone	noun	no	no	no	no	no	no	osso	hueso	osso	hueso	
finger	noun	no	no	no	yes	yes	no	fingir	fingir	dedo	dedo	
tongue	noun	no	no	yes	no	no	no	língua	lengua	língua	lengua	
magazine	noun	no	no	yes	no	no	no	revista	revista	revista	revista	
workshop	noun	no	no	no	no	no	no	oficina	taller	oficina	taller	but oficina also exists in SP
neighbor	noun	no	no	yes	no	no	no	vizinho	vecino	vizinho	vecino	
employee	noun	no	no	yes	no	no	no	empregado	empleado	empregado	empleado	
affair	noun	no	no	no	no	no	no	caso	asunto	caso	asunto	
injury	noun	no	no	no	no	no	no	injúria	injuria	ferida	herida	
ending	noun	no	no	yes	no	no	yes	final	finalizando	final	finalizando	
screen	noun	no	no	no	no	no	no	tela	pantalla	tela	pantalla	
engagement	noun	no	no	no	no	no	no	noivado	compromiso	noivado	compromiso	
commitment	noun	no	no	yes	no	no	yes	comprometimento	compromiso	compromisso	compromiso	
carpet	noun	Yes	No	No	No	Yes	No	carpete	carpeta	carpete	alfombra	
bomb	noun	No	No	Yes	Yes	Yes	no	bomba	bomba	bomba	bomba	
salsa	noun	No	Yes	No	Yes	No	Yes	salsa	salsa	molho	salsa	The dance meaning is the same in all three languages
actual	adjective	No	No	Yes	Yes	Yes	no	atual	actual	real	real	
alms	noun	No	No	No	Yes	Yes	No	almas	almas	esmola	limosna	
avocado	noun	No	No	Yes	No	No	No	abacate 	aguacate 	abacate	aguacate	
balcony	noun	No	Yes	No	Yes	No	Yes	balcão	balcón	sacada	balcón	
beef	noun	No	No	yes	Yes	Yes	no	bife	carne	bife	carne	
brand	noun	No	No	yes	Yes	No	no	brando	blando	marca	marca	
bland	adjective	No	No	yes	No	Yes	no	brando	blando	brando	blando	
candor	noun	Yes	Yes	Yes	No	No	No	candor	candor	candor	candor	
cargo	noun	No	No	Yes	Yes	Yes	No	cargo	cargo	carga	carga	
commodity	noun	No	No	Yes	Yes	Yes	No	comodidade	comodidad	mercadoria	mercancía	
comprehensive	adjective	No	No	no	Yes	Yes	no	compreensivo	comprensivo	abrangente	completo	
construe	verb	No	No	Yes	Yes	Yes	No	construir	construir	interpretar	interpretar	
doze	noun	No	No	No	Yes	Yes	Yes	doce/doze	doce	cochilar	dormitar	
invite	verb	No	Yes	No	No	No	No	convidar	invitar	convidar	invitar	
exit	noun	No	No	Yes	Yes	Yes	No	êxito	éxito	saída	salida	
fabric	noun	No	No	Yes	Yes	Yes	No	fábrica	fábrica	fábrica	fábrica	
file	noun	No	No	yes	Yes	Yes	no	fila	fila	arquivo	archivo	
grip	noun	No	No	yes	Yes	Yes	no	gripe	gripe	aperto	agarre	
excited	adjective	No	No	no	Yes	Yes	no	excitado	excitado	animado	emocionado	
devil	noun	No	No	Yes	Yes	No	No	débil	débil	diabo	diablo	
intent	noun	No	No	yes	Yes	Yes	no	intenção	intención	intenção	inención	
air	noun	yes	yes	yes	no	no	no	ar	aire	ar	aire	
adult	noun	yes	yes	yes	no	no	no	adulto	adulto	adulto	adulto	
agenda	noun	yes	yes	yes	no	no	no	agenda	agenda	agenda	agenda	
