English,Part_of_Speech,Is_Cognate_EN_PT,Is_Cognate_EN_SP,Is_Cognate_PT_SP,Is_False_Cognate_EN_PT,Is_False_Cognate_EN_SP,Is_False_Cognate_PT_SP,Similar_Word_PT,Similar_Word_SP,Translation_PT,Translation_SP,Comments,Similar_No_Accents_PT,Similar_No_Accents_SP,SOLAR_PT_EN,SOLAR_SP_EN,SOLAR_PT_SP,total_freq,freq_per_million.x,wl,coca_total_freq,coca_freq_per_million,freq,PT_freq_per_million,SP_freq_per_million,OLD20
actor,noun,Yes,Yes,yes,No,No,no,ator,actor,ator,actor,NA,ator,actor,0.95,1,0.95,1977,22.030173291995204,5,15931,38.409071428499786,35482,40.73160407818292,38.92857143,1.9
clerk,noun,No,No,no,No,No,no,escriturário,empleado,escriturário,empleado,NA,escriturario,empleado,0.11,0.2,NA,1763,19.645521251283533,5,NA,NA,403,0.46262432905438583,23.57142857,1.9
cereal,noun,Yes,Yes,yes,No,No,no,cereal,cereal,cereal,cereal,NA,cereal,cereal,1,1,1,422,4.702444678412735,6,NA,NA,1641,1.8837879006904397,1.428571429,2.05
pepper,noun,No,No,yes,No,No,no,pimenta,pimienta,pimenta,pimienta,NA,pimenta,pimienta,0.3,0.23,0.91,936,10.430066869654786,6,17848,43.03088989114708,2449,2.8113324611766526,2.142857143,1.85
error,noun,Yes,Yes,yes,No,No,no,erro,error,erro,error,NA,erro,error,0.83,1,0.83,3695,41.17424902069918,5,40,0.0964385699039603,53243,61.120365141048794,56.60714286,2.1
laugh,verb/noun,No,No,yes,No,No,no,risada,risa,risada,risa,NA,risada,risa,0.12,0.17,0.75,3309,36.87296076035009,5,7174,17.29625751227528,1306,1.499224252469052,38.57142857,1.95
piano,noun,Yes,Yes,yes,No,No,no,piano,piano,piano,piano,NA,piano,piano,1,1,1,1819,20.269542346049203,5,5,0.012054821237995037,8047,9.23756321563435,33.57142857,1.95
bench,noun,no,No,yes,No,No,no,banco,banco,banco,banco,NA,banco,banco,0.57,0.57,1,1872,20.86013373930957,5,5,0.012054821237995037,87072,99.95440590427663,46.96428571,1.75
origin,noun,Yes,Yes,yes,No,No,no,origem,origen,origem,origen,NA,origem,origen,0.62,0.88,0.75,2861,31.880792002224727,6,8449,20.370236927964015,119220,136.8587407192652,102.1428571,2.6
safety,noun,no,no,no,no,no,no,segurança,seguridad,segurança,seguridad,NA,seguranca,seguridad,NA,NA,0.61,7913,88.17640933715633,6,35933,86.63317830897513,126176,144.84388918800542,118.5714286,2.45
security,noun,yes,yes,yes,no,no,no,segurança,seguridad,segurança,seguridad,NA,seguranca,seguridad,0.45,0.55,0.61,13330,148.53930702189987,8,68636,165.47894209820547,126176,144.84388918800542,118.5714286,2.8
dentist,noun,Yes,Yes,yes,No,No,no,dentista,dentista,dentista,dentista,NA,dentista,dentista,0.8,0.8,1,431,4.802733782928646,7,2571,6.198589080577048,4370,5.0165466947088495,3.392857143,2.5
surgeon,noun,no,no,no,No,No,No,cirurgião,cirujano,cirurgião,cirujano,NA,cirurgiao,cirujano,0.34,0.26,0.64,988,11.009515029080053,7,NA,NA,5830,6.6925554302408665,8.214285714,2.5
accident,noun,Yes,Yes,yes,No,No,no,acidente,accidente,acidente,accidente,NA,acidente,accidente,0.77,0.82,0.97,5954,66.34681425419295,8,16871,40.675377821242854,39655,45.52200438871382,34.82142857,2.7
basement,noun,no,no,yes,no,no,no,sótão,sótano,sótão,sótano,NA,sotao,sotano,NA,NA,0.96,793,8.836584431235304,8,7810,18.82963077374825,587,0.6738473477789689,11.07142857,2.35
destruction,noun,Yes,Yes,yes,No,No,no,destruição,destrucción,destruição,destrucción,NA,destruicao,destruccion,0.75,0.92,0.77,2302,25.651724288403113,11,12731,30.69398583618296,20462,23.489377223600105,29.28571429,2.7
improvement,noun,No,No,yes,No,No,no,melhoria,mejora,melhoria,mejora,NA,melhoria,mejora,0.2,0.29,0.62,4011,44.69551091259118,11,12329,29.724778208648164,54016,62.00773140992979,17.32142857,3.7
fruit,noun,Yes,Yes,yes,No,No,no,fruta,fruta,fruta,fruta,NA,fruta,fruta,0.68,0.68,1,3796,42.29971563804441,5,16796,40.49455550267293,5568,6.3917922187960805,12.67857143,1.9
