sentence_nr;word_nr;word;word_no_pct
1;1;Her;Her
1;2;friends;friends
1;3;say;say
1;4;she;she
1;5;was;was
1;6;a;a
1;7;tomboy;tomboy
1;8;in;in
1;9;her;her
1;10;childhood.;childhood
2;1;The;The
2;2;eagerly;eagerly
2;3;expected;expected
2;4;tryout;tryout
2;5;was;was
2;6;scheduled;scheduled
2;7;for;for
2;8;the;the
2;9;following;following
2;10;week.;week
3;1;After;After
3;2;the;the
3;3;successful;successful
3;4;mission;mission
3;5;the;the
3;6;airmen;airmen
3;7;were;were
3;8;hailed;hailed
3;9;as;as
3;10;heroes.;heroes
4;1;The;The
4;2;criminal's;criminal
4;3;plan;plan
4;4;to;to
4;5;kidnap;kidnap
4;6;the;the
4;7;mayor;mayor
4;8;was;was
4;9;foiled.;foiled
5;1;Native;Native
5;2;to;to
5;3;America,;America
5;4;the;the
5;5;bobcat;bobcat
5;6;hunts;hunts
5;7;rodents;rodents
5;8;and;and
5;9;deer.;deer
6;1;Years;Years
6;2;ago,;ago
6;3;going;going
6;4;to;to
6;5;the;the
6;6;carhop;carhop
6;7;was;was
6;8;a;a
6;9;popular;popular
6;10;date.;date
7;1;This;This
7;2;year,;year
7;3;the;the
7;4;cutoff;cutoff
7;5;date;date
7;6;for;for
7;7;admissions;admissions
7;8;is;is
7;9;very;very
7;10;early.;early
8;1;After;After
8;2;calling;calling
8;3;his;his
8;4;teacher;teacher
8;5;a;a
8;6;dimwit;dimwit
8;7;the;the
8;8;student;student
8;9;was;was
8;10;suspended.;suspended
9;1;The;The
9;2;soldiers;soldiers
9;3;were;were
9;4;forced;forced
9;5;to;to
9;6;defend;defend
9;7;their;their
9;8;dugout;dugout
9;9;until;until
9;10;nightfall.;nightfall
10;1;The;The
10;2;candidate;candidate
10;3;clearly;clearly
10;4;needed;needed
10;5;a;a
10;6;new;new
10;7;outfit;outfit
10;8;for;for
10;9;the;the
10;10;debate.;debate
11;1;My;My
11;2;aunt;aunt
11;3;loves;loves
11;4;to;to
11;5;drink;drink
11;6;eggnog;eggnog
11;7;at;at
11;8;Christmastime.;Christmastime
12;1;In;In
12;2;humans,;humans
12;3;an;an
12;4;eyelid;eyelid
12;5;protects;protects
12;6;the;the
12;7;eye;eye
12;8;from;from
12;9;small;small
12;10;objects.;objects
13;1;Maybe;Maybe
13;2;the;the
13;3;heyday;heyday
13;4;of;of
13;5;the;the
13;6;automobile;automobile
13;7;will;will
13;8;soon;soon
13;9;be;be
13;10;over.;over
14;1;The;The
14;2;country;country
14;3;is;is
14;4;still;still
14;5;a;a
14;6;hotbed;hotbed
14;7;of;of
14;8;civil;civil
