word,celex_total,celex_wrt,celex_spk,ad_profile,mlbf_tk,wordlength
wo,1.23,1.08,3.08,0,0,2
mu,3.02,1.51,22.31,0,0,2
mo,3.52,1.99,23.08,0,0,2
ow,2.96,2.11,13.85,0,0,2
si,4.08,3.92,6.15,0,0,2
ox,4.41,4.64,1.54,0,0,2
re,10.11,7.59,42.31,0,0,2
ex,7.49,7.71,4.62,0,0,2
oz,8.94,9.64,0,0,0,2
ma,14.97,14.52,20.77,0,0,2
er,348.88,21.39,4530.77,0,0,2
am,388.83,393.31,331.54,0,0,2
us,976.03,973.98,1002.31,0,0,2
me,2406.2,2448.43,1866.92,0,0,2
no,2596.03,2526.93,3478.46,0,0,2
so,3010.45,2860.84,4920.77,0,0,2
an,3316.15,3355.06,2819.23,0,0,2
we,3622.68,3358.8,6992.31,0,0,2
or,4277.26,4261.14,4483.08,0,0,2
on,6927.99,6960.12,6517.69,0,0,2
as,6933.46,7033.19,5660,0,0,2
is,9456.03,9169.28,13117.69,0,0,2
in,18882.4,18942.23,18118.46,0,0,2
id,5.36,2.29,44.62,1,0,2
eh,30.56,17.77,193.85,1,0,2
ad,42.51,43.8,26.15,1,0,2
ok,64.41,47.83,276.15,1,0,2
ah,67.43,56.45,207.69,1,0,2
oh,455.75,306.57,2360.77,1,0,2
if,3012.12,2905.42,4374.62,1,0,2
at,5596.03,5652.83,4870.77,1,0,2
it,11168.71,10896.63,14643.08,1,0,2
of,30172.35,30546.57,25393.85,1,0,2
op,2.07,1.99,3.08,2,0,2
up,2517.77,2540.66,2225.38,2,0,2
my,2614.02,2684.7,1711.54,2,0,2
ti,0.95,0.9,1.54,10,0,2
ta,29.16,2.35,371.54,10,0,2
fa,3.52,3.19,7.69,10,0,2
ho,6.82,6.81,6.92,10,0,2
hi,8.55,8.92,3.85,10,0,2
ha,21.06,15,98.46,10,0,2
lo,18.83,19.46,10.77,10,0,2
la,36.09,36.33,33.08,10,0,2
tv,37.93,39.76,14.62,10,0,2
do,2141.96,1931.87,4824.62,10,0,2
be,6227.43,6215.12,6384.62,10,0,2
he,8847.26,9232.89,3923.08,10,0,2
to,27007.15,27158.97,25068.46,10,0,2
by,4434.75,4571.39,2690,12,0,2
pi,2.18,1.39,12.31,20,0,2
po,2.18,2.11,3.08,20,0,2
ye,10.95,11.08,9.23,20,0,2
pa,15.2,13.07,42.31,20,0,2
go,1054.13,986.69,1915.38,20,0,2
cur,0.39,0.24,2.31,0,2.755507993,3
moo,0.34,0.36,0,0,2.197562221,3
sou,0.39,0.36,0.77,0,3.054161121,3
vac,0.61,0.36,3.85,0,1.219508364,3
oar,0.39,0.42,0,0,2.149886873,3
wen,0.56,0.54,0.77,0,2.443561352,3
coo,0.78,0.78,0.77,0,2.477306423,3
maw,0.73,0.78,0,0,3.065683964,3
sac,1.06,0.96,2.31,0,1.925041697,3
caw,1.01,1.02,0.77,0,3.086825909,3
err,1.4,1.08,5.38,0,0.848361622,3
cor,1.17,1.2,0.77,0,2.926642394,3
nee,1.23,1.27,0.77,0,3.064213955,3
nos,1.17,1.27,0,0,2.479792069,3
ewe,1.23,1.33,0,0,0.716262577,3
roe,1.34,1.45,0,0,1.730094863,3
vie,1.51,1.57,0.77,0,1.847882306,3
min,1.56,1.63,0.77,0,1.851450074,3
vim,1.62,1.75,0,0,2.384369985,3
cam,1.68,1.81,0,0,2.538612608,3
ire,1.68,1.81,0,0,1.936346126,3
cos,11.17,1.81,130.77,0,1.517144775,3
mow,1.79,1.93,0,0,2.438255143,3
