word,pos,wl,freq_per_million
1880s,nn0,5,1.092036916
1890s,nn0,5,1.058607214
1920s,nn0,5,3.10896224
1930s,nn0,5,4.869593186
1940s,nn0,5,1.86092005
1950s,nn0,5,5.861340997
1960s,nn0,5,6.830802341
1970s,nn0,5,8.94801677
1980s,nn0,5,10.07348339
1990s,nn0,5,2.763521991
a-levels,nn2,8,1.381760996
a.g.m.,nn0,6,1.125466617
aachen,np0,6,1.069750448
aaron,nn1-np0,5,1.203469254
ababa,np0,5,1.883206518
abandon,nn1,7,1.092036916
abandonment,nn1,11,5.437898112
abatement,nn1,9,1.326044826
abbas,np0,5,1.025177513
abberley,nn1-np0,8,1.604625672
abberley,np0,8,1.381760996
abbey,nn1,5,9.583181098
abbey,nn1-np0,5,1.437477165
abbey,np0,5,9.260027317
abbot,nn1,5,3.721840101
abbot,np0,5,2.250933235
abbott,np0,6,2.574087016
abbreviations,nn2,13,1.370617762
abdel,np0,5,1.136609851
abdication,nn1,10,1.281471891
abdomen,nn1,7,3.264967514
abduction,nn1,9,1.938922687
abdul,np0,5,2.540657314
abdullah,np0,8,1.983495623
aberdeen,np0,8,15.19937095
aberration,nn1,10,1.604625672
aberystwyth,np0,11,2.886097563
abilities,nn2,9,14.24105284
ability,nn1,7,97.30271785
abingdon,np0,8,2.518370847
abnormalities,nn2,13,4.891879654
abnormality,nn1,11,3.142391941
abode,nn1,5,1.671485075
abolition,nn1,9,12.46927866
abolitionists,nn2,13,1.794060647
abortion,nn1,8,12.33555986
abortions,nn2,9,2.763521991
abound,nn1-vvb,6,1.704914777
abraham,np0,7,5.460184579
absence,nn1,7,63.24899525
absences,nn2,8,1.77177418
absentee,nn1,8,1.571195971
absenteeism,nn1,11,1.749487712
absorption,nn1,10,10.21834543
abstention,nn1,10,1.069750448
abstentions,nn2,11,2.44036821
abstinence,nn1,10,1.537766269
abstraction,nn1,11,5.003311992
abstractions,nn2,12,1.693771543
abstracts,nn2,9,1.125466617
absurdity,nn1,9,2.707805822
abundance,nn1,9,6.797372639
abuse,nn1,5,29.80815051
abuse,nn1-vvb,5,4.412720599
abuses,nn2,6,2.997529902
abuses,nn2-vvz,6,1.671485075
abyss,nn1,5,1.459763632
abyssinia,np0,9,1.058607214
academia,nn1,8,1.04746398
academics,nn2,9,8.825441197
academy,nn1,7,7.610828709
academy,nn1-np0,7,5.493614281
academy,np0,7,2.184073832
acceleration,nn1,12,6.017346271
accelerator,nn1,11,3.264967514
accent,nn1,6,13.43874001
accents,nn2,7,4.033850648
acceptability,nn1,13,2.941813732
acceptance,nn1,10,28.1923816
accepting,nn1-vvg,9,1.04746398
access,nn1,6,99.75422929
access,nn1-vvb,6,11.48867408
accessibility,nn1,13,3.186964877
accession,nn1,9,5.593903385
accessories,nn2,11,5.827911296
accessory,nn1,9,1.04746398
accident,nn1,8,66.11280634
accidents,nn2,9,20.25839911
acclaim,nn1,7,2.351222339
accolade,nn1,8,1.582339205
accommodation,nn1,13,43.69261987
accommodation,nn1-np0,13,2.462654678
accompaniment,nn1,13,4.490723236
accomplice,nn1,10,1.938922687
accomplishment,nn1,14,1.470906866
accord,nn1,6,8.089987764
accord,nn1-vvb,6,1.994638856
accords,nn2-vvz,7,1.147753085
account,nn1,7,133.7856654
account,nn1-vvb,7,13.98475846
accountability,nn1,14,12.40241926
accountancy,nn1,11,7.142812888
accountancy,nn1-np0,11,1.370617762
accountant,nn1,10,9.549751397
accountants,nn2,11,13.31616443
accounting,nn1,10,4.111853285
accounting,nn1-vvg,10,7.153956122
accounts,nn2,8,53.88867883
accounts,nn2-vvz,8,17.22743951
accreditation,nn1,13,3.097819006
accretion,nn1,9,1.281471891
accruals,nn2,8,1.136609851
accumulation,nn1,12,10.00662398
accumulator,nn1,11,2.418081742
accuracy,nn1,8,18.19690085
accusation,nn1,10,4.825020251
accusations,nn2,11,7.711117814
acemi,np0,5,1.058607214
acetate,nn1,7,1.025177513
aches,nn2,5,1.181182787
acheson,np0,7,1.404047463
achievement,nn1,11,32.6719616
achievement,nn1-np0,11,1.014034279
achievements,nn2,12,16.32483757
achilles,np0,8,1.782917414
acidification,nn1,13,1.270328657
acidity,nn1,7,2.975243434
acids,nn2,5,10.80893682
acknowledgement,nn1,15,5.872484231
acknowledgment,nn1,14,1.069750448
acorn,nn1-np0,5,1.10318015
acoustics,nn2,9,1.270328657
acquaintance,nn1,12,6.763942938
acquaintances,nn2,13,3.331826917
acquiescence,nn1,12,1.905492986
acquirer,nn1,8,1.348331294
acquisition,nn1,11,27.85808459
acquisitions,nn2,12,7.142812888
acquittal,nn1,9,1.370617762
acreage,nn1,7,1.069750448
acres,nn2,5,17.04914777
acrylic,nn1,7,1.158896319
acting,nn1-vvg,6,5.059028161
action,nn1,6,235.1890933
actions,nn2,7,52.77435544
activation,nn1,10,5.995059803
activator,nn1,9,3.142391941
activism,nn1,8,1.236898956
activist,nn1,8,3.354113384
activists,nn2,9,9.728043138
activities,nn2,10,125.8182532
activity,nn1,8,124.2470573
acton,np0,5,1.660341841
actor,nn1,5,20.8155608
actors,nn2,6,17.37230155
actress,nn1,7,9.148594979
actress,nn1-vvb,7,1.281471891
actresses,nn2,9,1.415190697
actuality,nn1,9,1.649198608
actuaries,nn2,9,1.805203881
actuary,nn1,7,1.214612488
acumen,nn1,6,1.19232602
acupuncture,nn1,11,2.028068558
ad_lib,nn0,6,1.849776817
adage,nn1,5,1.181182787
adams,np0,5,10.09576985
adaptability,nn1,12,1.671485075
adaptation,nn1,10,8.379711844
adaptations,nn2,11,3.911275076
adaptor,nn1,7,2.250933235
addict,nn1,6,2.15064413
addiction,nn1,9,5.905913933
addicts,nn2,7,2.228646767
adding,nn1-vvg,6,1.270328657
addis,np0,5,2.061498259
addison,np0,7,1.504336568
addition,nn1,8,22.11931916
additions,nn2,9,7.822550152
additives,nn2,9,2.44036821
address,nn1,7,48.59564275
address,nn1-vvb,7,4.791590549
addressee,nn1,9,1.749487712
addresses,nn2,9,10.45235334
addresses,nn2-vvz,9,2.284362936
adelaide,np0,8,2.351222339
adele,np0,5,1.04746398
adenauer,np0,8,1.526623035
adenocarcinoma,nn1,14,1.136609851
adenomas,nn2,8,1.158896319
adequacy,nn1,8,3.064389305
adherence,nn1,9,4.279001793
adherents,nn2,9,2.306649404
adhesion,nn1,8,3.54354836
adhesive,nn1,8,1.593482438
adidas,np0,6,1.014034279
adjective,nn1,9,5.538187216
adjectives,nn2,10,5.415611644
adjournment,nn1,11,2.228646767
adjudication,nn1,12,3.019816369
adjudicator,nn1,11,1.058607214
adjunct,nn1,7,1.682628309
adjustment,nn1,10,15.21051418
adjustments,nn2,11,7.510539605
adjutant,nn1,8,1.136609851
